"section","file","path","obtenerDatos","localStorage","sessionStorage","setTimeout","subscribe","rxjsSubject","legacyWord","datosWord"
"28","seccion28-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion28\seccion28-form.component.ts","1","0","0","0","1","0","0","101"
"28","seccion28-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion28\seccion28-view.component.ts","0","0","0","0","0","0","0","1"
"29","seccion29-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion29\seccion29-constants.ts","0","0","0","0","0","0","0","1"
"29","seccion29-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion29\seccion29-form.component.ts","0","0","0","0","1","0","1","17"
"29","seccion29-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion29\seccion29-view.component.ts","0","0","0","0","0","0","0","0"
"3","seccion3-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion3\seccion3-constants.ts","0","0","0","0","0","0","0","4"
"3","seccion3-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion3\seccion3-form.component.ts","0","0","0","0","0","0","0","3"
"3","seccion3-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion3\seccion3-view.component.ts","0","0","0","0","0","0","0","0"
"30","seccion30-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion30\seccion30-constants.ts","0","0","0","0","0","0","0","5"
"30","seccion30-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion30\seccion30-form.component.ts","0","0","0","0","2","0","0","23"
"30","seccion30-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion30\seccion30-view.component.ts","0","0","0","0","0","0","0","10"
"31","seccion31.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion31\seccion31.component.ts","2","0","0","0","0","0","0","7"
"32","seccion32.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion32\seccion32.component.ts","2","0","0","0","0","0","0","6"
"33","seccion33.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion33\seccion33.component.ts","2","0","0","0","0","0","0","6"
"34","seccion34.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion34\seccion34.component.ts","2","0","0","0","0","0","0","6"
"35","seccion35.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion35\seccion35.component.ts","2","0","0","0","0","0","0","6"
"36","seccion36.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion36\seccion36.component.ts","2","0","0","0","0","0","0","11"
"4","seccion4-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion4\seccion4-constants.ts","0","0","0","0","0","0","0","1"
"4","seccion4-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion4\seccion4-form.component.ts","1","0","0","2","0","0","2","38"
"4","seccion4-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion4\seccion4-view.component.ts","1","0","0","0","0","0","2","14"
"5","seccion5-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion5\seccion5-constants.ts","0","0","0","0","0","0","0","0"
"5","seccion5-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion5\seccion5-form.component.ts","0","0","0","0","0","0","0","14"
"5","seccion5-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion5\seccion5-view.component.ts","1","0","0","0","0","0","2","6"
"6","seccion6-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion6\seccion6-constants.ts","0","0","0","0","0","0","0","1"
"6","seccion6-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion6\seccion6-form.component.ts","0","0","0","0","2","0","0","32"
"6","seccion6-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion6\seccion6-view.component.ts","0","0","0","0","2","0","0","21"
"7","seccion7-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion7\seccion7-constants.ts","0","0","0","0","0","0","0","2"
"7","seccion7-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion7\seccion7-form.component.ts","0","0","0","0","3","0","1","49"
"7","seccion7-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion7\seccion7-view.component.ts","0","0","0","0","0","0","0","4"
"8","seccion8-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion8\seccion8-constants.ts","0","0","0","0","0","0","0","4"
"8","seccion8-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion8\seccion8-form.component.ts","0","0","0","0","1","0","0","11"
"8","seccion8-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion8\seccion8-view.component.ts","0","0","0","0","0","0","0","19"
"9","seccion9-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion9\seccion9-constants.ts","0","0","0","0","0","0","0","0"
"9","seccion9-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion9\seccion9-form.component.ts","0","0","0","0","2","0","0","14"
"9","seccion9-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion9\seccion9-view.component.ts","0","0","0","0","0","0","0","10"
